PLACES,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
CORFINIO, 41, 41, 41, 41, 41, 41, 40, 40, 39, 40, 40, 40, 42, 41, 42, 41, 41, 41, 41, 41, 41, 41, 42, 40, 41, 41, 42, 42, 42, 42, 41, 41, 42, 41, 41, 42
CORIANO, 33, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 39, 39, 39, 39, 39, 39
CORIGLIANO CALABRO, 28, 28, 28, 28, 29, 29, 29, 30, 30, 31, 31, 32, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 34, 34, 35, 35, 35, 35
CORIGLIANO D'OTRANTO, 33, 33, 34, 34, 34, 34, 34, 34, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 42, 42, 39, 39, 39, 39, 40, 40
CORINALDO, 36, 37, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 45, 42, 42, 43, 43, 43, 43
CORIO, 39, 40, 39, 39, 39, 40, 40, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 41, 41, 42, 42, 42, 42, 42, 43, 43, 44, 42, 42, 42, 42, 42, 42
CORI, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 40, 41, 39, 39, 39, 40, 40, 40
CORLEONE, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 38, 38, 38, 38, 39, 39
CORLETO MONFORTE, 37, 38, 39, 40, 40, 40, 40, 41, 41, 42, 43, 42, 43, 43, 44, 43, 44, 45, 45, 45, 46, 47, 47, 47, 47, 46, 47, 47, 47, 47, 46, 47, 47, 47, 47, 47
CORLETO PERTICARA, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 44, 44, 44, 41, 42, 42, 43, 43, 43
CORMANO, 33, 33, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 41, 41, 41, 41, 41
CORMONS, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 43, 42, 43, 43, 43, 44, 44, 44, 44, 44, 42, 42, 43, 43, 43, 43
CORNA IMAGNA, 28, 29, 30, 30, 31, 31, 31, 31, 32, 32, 33, 33, 33, 34, 33, 34, 34, 33, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 36, 37, 34, 34, 34, 34, 35, 34
CORNALBA, 34, 34, 34, 34, 33, 34, 34, 34, 35, 36, 37, 38, 38, 39, 40, 40, 41, 41, 42, 43, 44, 44, 45, 45, 45, 45, 46, 46, 46, 47, 45, 44, 45, 45, 46, 46
CORNALE, 43, 42, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 45, 45, 44, 44, 43, 43, 43, 42, 42, 43, 43, 43, 44, 44, 44, 44, 45, 44, 42, 42, 43, 44, 44, 44
CORNAREDO, 32, 32, 33, 33, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 38, 39, 39, 39, 39, 40
CORNEDO ALL'ISARCO, 29, 29, 29, 29, 30, 30, 31, 31, 31, 31, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 34, 35, 35, 35, 36, 36
CORNEDO VICENTINO, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 38, 38, 38, 38, 38, 38
CORNEGLIANO LAUDENSE, 31, 31, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 38, 39, 39, 40, 38, 38, 39, 38, 39, 39
CORNELIANO D'ALBA, 40, 40, 40, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 43, 42, 43, 43, 43, 43, 43
CORNIGLIO, 43, 44, 44, 45, 45, 46, 46, 46, 46, 47, 48, 48, 49, 49, 49, 49, 49, 50, 50, 50, 50, 50, 49, 50, 49, 50, 49, 49, 49, 49, 50, 50, 49, 49, 49, 50
CORNO DI ROSAZZO, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 43, 40, 40, 40, 41, 41, 41
CORNO GIOVINE, 36, 37, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 41, 42, 43, 43, 43, 43, 43, 44, 43, 43, 43, 43, 43, 43, 43, 43, 44, 43, 44, 43, 44, 44, 44, 43
CORNOVECCHIO, 34, 34, 35, 34, 34, 34, 35, 35, 37, 36, 40, 40, 41, 38, 39, 39, 39, 40, 40, 41, 42, 42, 41, 40, 42, 42, 42, 43, 41, 41, 41, 41, 41, 40, 43, 42
CORNUDA, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 38, 38, 39, 39, 39, 39, 39, 40, 38, 39, 38, 38, 39, 39
CORREGGIO, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 40, 40, 40, 41, 41, 41, 41, 40, 40
CORREZZOLA, 33, 33, 33, 34, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 39, 39, 39, 39, 40, 40
CORRIDONIA, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 40, 40, 40, 40, 40, 40
CORRIDO, 34, 34, 35, 34, 34, 35, 35, 34, 34, 35, 35, 36, 36, 36, 37, 38, 38, 38, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 39, 38, 39, 39, 39, 39, 40
CORROPOLI, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 40, 41, 41, 41, 41, 41, 41
CORSANO, 30, 31, 30, 30, 31, 31, 31, 31, 31, 31, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 35, 35, 35, 36, 36, 37
CORSICO, 32, 32, 33, 33, 34, 34, 35, 35, 36, 36, 37, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 41, 42, 42, 42, 42, 43
CORSIONE, 45, 41, 43, 45, 45, 47, 46, 48, 47, 48, 48, 48, 46, 47, 48, 49, 50, 51, 52, 52, 51, 50, 51, 50, 47, 44, 46, 43, 45, 47, 49, 50, 51, 50, 49, 45
CORTACCIA SULLA STRADA DEL VINO, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 35, 34, 35, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 35, 35, 36, 36, 36, 37
CORTALE, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 37, 38, 38, 39, 39, 40, 40, 40, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 44, 44, 42, 42, 42, 42, 42, 43
CORTANDONE, 44, 46, 48, 44, 46, 48, 46, 45, 46, 44, 46, 45, 44, 43, 43, 43, 44, 45, 45, 45, 44, 45, 44, 43, 43, 44, 43, 44, 43, 45, 44, 44, 44, 43, 43, 44
CORTANZE, 51, 51, 50, 50, 50, 51, 50, 50, 47, 49, 48, 47, 47, 47, 45, 44, 43, 43, 44, 45, 44, 45, 45, 46, 46, 45, 44, 44, 44, 45, 45, 45, 45, 46, 45, 44
CORTAZZONE, 51, 49, 48, 47, 46, 46, 44, 45, 45, 44, 45, 44, 43, 45, 44, 44, 44, 44, 44, 44, 44, 44, 45, 44, 43, 43, 43, 42, 44, 44, 44, 44, 44, 44, 43, 44
CORTE BRUGNATELLA, 46, 46, 46, 47, 47, 47, 47, 48, 48, 49, 49, 48, 49, 49, 49, 49, 49, 50, 51, 51, 52, 52, 53, 53, 53, 54, 54, 54, 55, 56, 53, 52, 54, 53, 54, 54
CORTE DE' CORTESI CON CIGNONE, 38, 38, 38, 39, 39, 38, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 40, 41, 41, 41, 41, 41, 40, 40, 40, 41, 40, 41, 40, 41, 41
CORTE DE' FRATI, 35, 35, 36, 36, 37, 37, 38, 38, 38, 39, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 41, 42, 42, 42, 43, 42, 43, 42, 42, 42, 41, 42, 42
CORTE FRANCA, 31, 31, 31, 31, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 36, 36, 36, 37, 37, 37
CORTE PALASIO, 33, 33, 33, 34, 33, 34, 34, 34, 35, 35, 36, 36, 36, 36, 36, 37, 36, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 37, 37, 37, 37, 38, 38
CORTEMAGGIORE, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43
CORTEMILIA, 41, 41, 42, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 44, 44, 44, 43, 44, 44, 44, 45, 45, 45, 45, 45, 46, 46, 47, 47, 44, 44, 45, 45, 45, 45
CORTENO GOLGI, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 39, 39, 39, 39, 39, 40
CORTENOVA, 30, 30, 31, 31, 31, 31, 31, 32, 32, 32, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 38, 39, 39, 39, 39, 40
CORTENUOVA, 32, 33, 32, 33, 33, 33, 33, 33, 34, 34, 33, 33, 34, 34, 34, 34, 34, 35, 35, 35, 36, 36, 35, 36, 36, 36, 37, 37, 37, 37, 36, 36, 36, 36, 37, 37
CORTEOLONA, 36, 37, 36, 37, 37, 38, 38, 38, 38, 39, 39, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 40, 40, 40, 41, 40, 40, 40, 40, 40, 40
CORTIGLIONE, 43, 43, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 46, 46, 46, 46, 45, 45, 45, 44, 45, 45, 44, 44, 43, 42, 42, 41, 41, 40, 45, 45, 44, 43, 43, 42
CORTINA D'AMPEZZO, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 41, 42, 42, 42, 42, 43
CORTINA SULLA STRADA DEL VINO, 31, 30, 30, 31, 31, 31, 32, 31, 31, 31, 33, 33, 34, 34, 34, 34, 35, 35, 36, 36, 37, 38, 37, 38, 39, 38, 38, 39, 39, 39, 37, 37, 37, 38, 39, 39
CORTINO, 37, 38, 38, 39, 40, 41, 41, 42, 41, 42, 43, 44, 46, 47, 47, 47, 47, 46, 47, 47, 47, 47, 48, 48, 47, 47, 48, 48, 48, 48, 47, 47, 48, 47, 47, 46
CORTONA, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 43, 43, 43, 44, 44, 44
CORVARA IN BADIA, 29, 30, 30, 30, 31, 31, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 39, 39, 38, 38, 38, 38, 39, 39
CORVARA, 47, 47, 48, 47, 48, 47, 48, 48, 47, 48, 48, 47, 47, 48, 49, 49, 49, 49, 49, 48, 48, 47, 46, 46, 45, 47, 47, 49, 50, 51, 48, 48, 48, 48, 47, 49
CORVINO SAN QUIRICO, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 42, 43, 43, 43, 43, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 46, 45, 45, 45, 45
CORZANO, 31, 31, 31, 32, 33, 33, 33, 34, 35, 35, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 39, 39, 39, 40, 39, 39, 39, 39, 39, 39, 40, 39, 39, 40, 40, 39
COSEANO, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 41, 41, 41, 41, 42, 42
COSENZA, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 40, 40, 40, 41, 41, 41
COSIO D'ARROSCIA, 47, 47, 49, 49, 51, 52, 53, 53, 54, 55, 53, 54, 53, 53, 53, 54, 54, 55, 55, 53, 53, 54, 54, 53, 52, 53, 54, 55, 56, 57, 53, 54, 54, 52, 52, 54
COSIO VALTELLINO, 32, 33, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 36, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 40, 40, 40, 38, 38, 39, 39, 40, 40
COSOLETO, 34, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 38, 39, 39, 39, 39, 39, 40, 40, 39, 39, 39, 39, 39, 39
COSSANO BELBO, 41, 41, 41, 42, 42, 42, 43, 43, 44, 44, 45, 45, 45, 45, 45, 46, 46, 45, 46, 46, 46, 46, 46, 46, 47, 47, 47, 47, 47, 47, 46, 46, 46, 46, 47, 47
COSSANO CANAVESE, 45, 46, 47, 48, 46, 47, 47, 47, 48, 48, 47, 48, 46, 47, 46, 46, 46, 46, 46, 46, 45, 46, 45, 46, 46, 46, 46, 46, 46, 47, 46, 46, 46, 46, 46, 46
COSSATO, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 42, 42, 43, 43, 43, 43
COSSERIA, 41, 41, 41, 42, 42, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 44, 43, 43, 43, 44, 44, 44, 45, 45, 44, 45, 45, 44, 44, 45, 43, 44, 44, 45, 45, 45
COSSIGNANO, 39, 40, 40, 40, 40, 41, 41, 42, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 45, 44, 45, 46, 44, 44, 44, 44, 44, 44
COSSOGNO, 42, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 45, 45, 45, 46, 45, 45, 43, 42, 43, 42, 43, 43, 44, 44, 44, 44, 44, 43, 43, 43, 44, 44
COSSOINE, 38, 38, 38, 38, 39, 39, 39, 40, 39, 40, 40, 41, 40, 41, 42, 42, 42, 42, 42, 43, 44, 44, 44, 44, 45, 44, 44, 45, 45, 45, 44, 44, 44, 44, 44, 44
COSSOMBRATO, 43, 43, 45, 45, 44, 44, 44, 44, 45, 43, 45, 46, 44, 44, 44, 44, 44, 43, 43, 43, 44, 44, 44, 45, 45, 45, 44, 44, 44, 44, 44, 45, 44, 45, 45, 45
COSTA DE' NOBILI, 37, 36, 37, 35, 36, 36, 35, 36, 38, 38, 40, 41, 43, 42, 42, 42, 42, 42, 42, 41, 42, 43, 43, 43, 43, 45, 44, 45, 45, 46, 42, 43, 43, 43, 43, 44
COSTA DI MEZZATE, 29, 30, 30, 29, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 35, 36, 36, 36, 35, 35, 35, 35, 35, 35
COSTA DI ROVIGO, 35, 36, 36, 37, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 44, 45, 45, 45, 45, 45, 42, 42, 43, 43, 44, 45
COSTA MASNAGA, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 39, 39, 39, 39, 40, 40
COSTA SERINA, 32, 32, 33, 33, 33, 33, 33, 33, 34, 34, 36, 36, 36, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 39, 39, 40, 41, 41, 41
COSTA VALLE IMAGNA, 35, 37, 36, 36, 36, 36, 36, 37, 37, 37, 39, 39, 39, 38, 40, 40, 40, 41, 41, 42, 42, 42, 43, 43, 44, 44, 44, 44, 45, 46, 42, 42, 43, 43, 44, 44
COSTA VESCOVATO, 45, 45, 45, 45, 47, 48, 48, 49, 49, 50, 49, 48, 48, 49, 49, 50, 49, 50, 49, 49, 50, 50, 48, 49, 48, 47, 48, 46, 45, 44, 52, 50, 50, 49, 49, 48
COSTA VOLPINO, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 39, 39, 39, 40, 40, 40
COSTABISSARA, 30, 31, 31, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 38, 39, 39, 39, 37, 38, 38, 38, 38, 39
COSTACCIARO, 40, 40, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 44, 44, 44, 45, 44, 45, 45, 45, 44, 45, 44, 44, 44, 44
COSTANZANA, 46, 46, 47, 47, 48, 48, 48, 48, 48, 49, 48, 47, 47, 47, 47, 49, 48, 48, 48, 49, 48, 49, 48, 49, 49, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48
COSTARAINERA, 37, 37, 38, 37, 38, 39, 39, 39, 40, 39, 39, 40, 41, 42, 42, 42, 42, 42, 43, 43, 43, 42, 43, 42, 43, 43, 43, 43, 43, 43, 43, 42, 43, 43, 44, 44
COSTERMANO, 34, 34, 34, 34, 34, 34, 34, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 38, 38, 38, 38, 39, 39
COSTIGLIOLE D'ASTI, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 44, 42, 43, 43, 43, 43, 43
COSTIGLIOLE SALUZZO, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 40, 40
COTIGNOLA, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44
COTRONEI, 31, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 34, 34, 35, 35, 36, 36, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 37, 38, 38, 38, 38, 39
COTTANELLO, 44, 45, 45, 46, 45, 45, 45, 45, 44, 44, 46, 46, 46, 46, 46, 46, 46, 45, 45, 46, 47, 47, 48, 47, 46, 48, 48, 47, 47, 48, 46, 47, 47, 47, 47, 47
COURMAYEUR, 32, 33, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 39, 39, 40, 40, 40, 40
COVO, 33, 33, 33, 33, 33, 33, 34, 33, 34, 34, 35, 35, 36, 37, 37, 37, 38, 37, 38, 38, 38, 38, 38, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 37, 37, 37
COZZO, 51, 50, 49, 50, 50, 49, 48, 46, 46, 46, 45, 45, 44, 43, 43, 43, 42, 42, 43, 42, 43, 42, 43, 44, 44, 44, 45, 46, 48, 49, 43, 43, 43, 44, 44, 44
CRACO, 34, 34, 35, 35, 36, 37, 37, 38, 38, 38, 39, 39, 40, 40, 40, 41, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 39, 39, 39, 39, 39, 39
CRANDOLA VALSASSINA, 33, 31, 31, 32, 34, 33, 34, 36, 36, 37, 37, 38, 37, 37, 37, 36, 36, 36, 36, 38, 39, 39, 40, 41, 41, 42, 43, 43, 43, 44, 39, 40, 41, 41, 42, 42
CRAVAGLIANA, 44, 45, 45, 45, 44, 45, 45, 45, 45, 46, 43, 43, 44, 45, 45, 46, 46, 47, 45, 46, 47, 47, 47, 46, 47, 49, 49, 50, 50, 49, 45, 47, 47, 47, 49, 50
CRAVANZANA, 44, 45, 46, 46, 47, 47, 47, 48, 48, 49, 48, 48, 48, 49, 49, 48, 47, 49, 49, 49, 50, 49, 48, 48, 49, 49, 49, 49, 49, 48, 50, 49, 49, 49, 50, 50
CRAVEGGIA, 36, 36, 36, 35, 35, 36, 36, 36, 37, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 42, 43, 43, 43, 43, 44, 44, 44, 44, 41, 42, 42, 42, 43, 43
CREAZZO, 31, 31, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 38, 38, 39, 39, 39, 40
CRECCHIO, 37, 37, 38, 38, 39, 39, 39, 39, 39, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 43, 43, 44, 43, 44, 44, 44, 44, 44, 44, 45, 43, 44, 44, 44, 44, 44
CREDARO, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 36, 36
CREDERA RUBBIANO, 34, 34, 34, 35, 35, 35, 35, 36, 37, 36, 37, 37, 37, 38, 39, 38, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 43, 44, 41, 41, 41, 42, 42, 42
CREMA, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 41, 41, 41, 42, 42, 42
CREMELLA, 32, 32, 33, 33, 33, 34, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 38, 38, 39, 39, 39, 39, 38, 38, 38, 39, 39, 39
CREMENAGA, 31, 30, 30, 30, 30, 31, 31, 31, 32, 32, 33, 33, 34, 34, 34, 35, 35, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 41, 37, 38, 38, 39, 40, 40
CREMENO, 35, 35, 35, 35, 35, 35, 36, 37, 38, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 38, 39, 38, 40, 40, 40, 40, 40, 40, 40, 38, 39, 38, 39, 40, 40
CREMIA, 33, 33, 33, 33, 33, 34, 35, 34, 35, 36, 36, 37, 37, 37, 37, 38, 39, 39, 39, 39, 40, 41, 41, 42, 42, 43, 43, 44, 44, 43, 40, 40, 40, 41, 41, 42
CREMOLINO, 48, 48, 48, 48, 48, 48, 48, 48, 48, 47, 47, 47, 46, 46, 47, 47, 47, 48, 48, 47, 48, 47, 48, 47, 47, 48, 48, 47, 47, 47, 48, 48, 48, 47, 47, 47
CREMONA, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 44, 42, 43, 43, 43, 43, 43
CREMOSANO, 35, 35, 35, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 40, 39, 38, 38, 39, 39, 40, 40, 40, 40, 40, 39
CRESCENTINO, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 40, 40, 41, 41, 41, 41
CRESPADORO, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 38, 38, 37, 38, 38, 37, 37, 37, 37, 37, 36, 36, 36, 36, 37, 37, 38, 37, 37, 37, 37, 36, 36, 36, 37, 37
CRESPANO DEL GRAPPA, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 38, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 40, 40, 38, 38, 38, 38, 38, 38
CRESPELLANO, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 43, 42, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 42, 42, 42, 42
CRESPIATICA, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 38, 38, 39, 38, 38, 39, 39, 39, 39, 38
CRESPINA, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 40, 41, 41, 42, 40, 40, 40, 40, 40, 41
CRESPINO, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 43, 44, 45, 45, 45, 46, 46, 46, 46, 46, 46, 47, 44, 45, 45, 45, 45, 45
CRESSA, 38, 38, 38, 38, 38, 38, 39, 39, 38, 39, 40, 40, 41, 41, 42, 42, 43, 43, 43, 43, 43, 44, 43, 43, 43, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43
